Filename,Validity Has Exception,Validity Problem Count,Validity Message,FMI Version,Co-Simulation,Model Exchange,Param Count,Input Count,Output Count,Generation Tool
results/downloads\AIT-IES\FMITerminalBlock\doc_user_tutorial-data_model_Sisyphus.fmu,False,0,,1.0,False,True,6,1,3,OpenModelica Compiler OpenModelica v1.11.0 (32-bit)
results/downloads\AIT-IES\detb-lablink-example\fmu_DHNetworkCtrl.fmu,False,0,,2.0,True,True,0,2,3,"Dymola Version 2020x (64-bit), 2019-10-10"
results/downloads\AIT-IES\detb-lablink-example\fmu_SingleConsumerWithBooster.fmu,False,1,ModelStructure/InitialUnknowns does not contain the expected set of variables. E...,2.0,True,True,3,1,3,"Dymola Version 2020x (64-bit), 2019-10-10"
results/downloads\AIT-IES\detb-lablink-example\fmu_TeststandCtrl.fmu,False,0,,2.0,True,True,3,6,3,"Dymola Version 2020x (64-bit), 2019-10-10"
results/downloads\AIT-Lablink\lablink-fmusim\src_test_resources_zigzag.fmu,False,0,,2.0,False,True,7,1,2,"Dymola Version 2019 FD01 (64-bit), 2018-10-10"
results/downloads\ALSETLab\CHEETA\MATLAB_LinearizationReduction_Linearization.fmu,False,0,,1.0,False,True,857,0,35,"Dymola Version 2020 (64-bit), 2019-04-10 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Brushless.fmu,False,0,,1.0,False,True,0,3,6,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Brushless_Battery.fmu,False,1,ModelStructure/InitialUnknowns does not contain the expected set of variables. E...,2.0,False,True,147,3,5,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_Brushless_Thermal.fmu,False,0,,1.0,False,True,160,3,8,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_ColdPlate_Convection.fmu,False,0,,2.0,True,True,235,12,12,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_DrivetrainValidation_FMU_Drive_025_0FMU_02.fmu,False,0,,1.0,False,True,7,3,6,"Dymola Version 2020x (64-bit), 2019-10-10 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_DrivetrainValidation_FMU_Drive_045_0FMU.fmu,False,0,,1.0,False,True,160,3,7,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
results/downloads\ALSETLab\DrivetrainValidation\MATLAB_FMUs_DrivetrainValidation_FMU_Drive_045_0FMU_0control.fmu,False,0,,1.0,False,True,160,3,8,"Dymola Version 2021x (64-bit), 2020-11-26 (requires license to execute)"
